"","Name","City","Country","IATA","ICAO","Lat","Lon","Altitude","Timezone","DST","TZID"
"3552","Chisholm Hibbing","Hibbing","United States","HIB","KHIB",47.3866,-92.838994,1353,-6,"A","America/Chicago"
"3553","Angelina Co","Lufkin","United States","LFK","KLFK",31.234014,-94.75,296,-6,"A","America/Chicago"
"3554","Midland Intl","Midland","United States","MAF","KMAF",31.942528,-102.201914,2871,-6,"A","America/Chicago"
"3555","Austin Straubel Intl","Green Bay","United States","GRB","KGRB",44.485072,-88.129589,695,-6,"A","America/Chicago"
"3556","Ardmore Muni","Ardmore","United States","ADM","KADM",34.300833,-97.008889,762,-6,"A","America/Chicago"
"3557","Mc Guire Afb","Wrightstown","United States","WRI","KWRI",40.015556,-74.591667,131,-5,"A","America/New_York"
"3558","Cherry Point Mcas","Cherry Point","United States","NKT","KNKT",34.900872,-76.880733,29,-5,"A","America/New_York"
"3559","Emanuel Co","Santa Barbara","United States","SBO","KSBO",32.609139,-82.369944,327,-5,"A","America/New_York"
"3560","Augusta Rgnl At Bush Fld","Bush Field","United States","AGS","KAGS",33.369944,-81.9645,144,-5,"A","America/New_York"
"3561","Sloulin Fld Intl","Williston","United States","ISN","KISN",48.177939,-103.642347,1982,-6,"A","America/Chicago"
"3562","Adams Fld","Little Rock","United States","LIT","KLIT",34.729444,-92.224306,262,-6,"A","America/Chicago"
"3563","Stewart Intl","Newburgh","United States","SWF","KSWF",41.504094,-74.104839,491,-5,"A","America/New_York"
"3564","Baudette Intl","Baudette","United States","BDE","KBDE",48.728444,-94.612222,1086,-6,"A","America/Chicago"
"3565","Sacramento Executive","Sacramento","United States","SAC","KSAC",38.512524,-121.49347,24,-8,"A","America/Los_Angeles"
"3566","Homer","Homer","United States","HOM","PAHO",59.645556,-151.476583,84,-9,"A","America/Anchorage"
"3567","Waynesville Rgnl Arpt At Forney Fld","Fort Leonardwood","United States","TBN","KTBN",37.741631,-92.140736,1159,-6,"A","America/Chicago"
"3568","Dobbins Arb","Marietta","United States","MGE","KMGE",33.915382,-84.516319,1068,-5,"A","America/New_York"
"3569","Fairchild Afb","Spokane","United States","SKA","KSKA",47.615058,-117.655772,2461,-8,"A","America/Los_Angeles"
"3570","Roscommon Co","Houghton Lake","United States","HTL","KHTL",44.359806,-84.671112,1150,-5,"A","America/New_York"
"3571","Tyndall Afb","Panama City","United States","PAM","KPAM",30.069567,-85.575417,17,-6,"A","America/Chicago"
"3572","Dallas Fort Worth Intl","Dallas-Fort Worth","United States","DFW","KDFW",32.896828,-97.037997,607,-6,"A","America/Chicago"
"3573","Melbourne Intl","Melbourne","United States","MLB","KMLB",28.102753,-80.645258,33,-5,"A","America/New_York"
"3574","Mc Chord Afb","Tacoma","United States","TCM","KTCM",47.137678,-122.476475,322,-8,"A","America/Los_Angeles"
"3575","Austin Bergstrom Intl","Austin","United States","AUS","KAUS",30.194528,-97.669889,542,-6,"A","America/Chicago"
"3576","Rickenbacker Intl","Columbus","United States","LCK","KLCK",39.813786,-82.927822,744,-5,"A","America/New_York"
"3577","Sawyer Intl","Gwinn","United States","","KSAW",46.353625,-87.395353,1221,-5,"A","America/New_York"
"3578","Mc Ghee Tyson","Knoxville","United States","TYS","KTYS",35.810972,-83.994028,981,-5,"A","America/New_York"
"3579","Hood Aaf","Fort Hood","United States","HLR","KHLR",31.138731,-97.714469,924,-6,"A","America/Chicago"
"3580","Lambert St Louis Intl","St. Louis","United States","STL","KSTL",38.748697,-90.370028,618,-6,"A","America/Chicago"
"3581","Millville Muni","Millville","United States","MIV","KMIV",39.367806,-75.072222,85,-5,"A","America/New_York"
"3582","Sheppard Afb Wichita Falls Muni","Wichita Falls","United States","SPS","KSPS",33.988797,-98.491894,1019,-6,"A","America/Chicago"
"3583","Cincinnati Muni Lunken Fld","Cincinnati","United States","LUK","KLUK",39.103333,-84.418611,483,-5,"A","America/New_York"
"3584","Hartsfield Jackson Atlanta Intl","Atlanta","United States","ATL","KATL",33.636719,-84.428067,1026,-5,"A","America/New_York"
"3585","Castle","Merced","United States","MER","KMER",37.380481,-120.568189,189,-8,"A","America/Los_Angeles"
"3586","Mc Clellan Afld","Sacramento","United States","MCC","KMCC",38.667639,-121.400611,75,-8,"A","America/Los_Angeles"
"3587","Gerald R Ford Intl","Grand Rapids","United States","GRR","KGRR",42.880833,-85.522806,794,-5,"A","America/New_York"
"3588","Winkler Co","Wink","United States","INK","KINK",31.779628,-103.201361,2822,-6,"A","America/Chicago"
"3589","Fresno Yosemite Intl","Fresno","United States","FAT","KFAT",36.776194,-119.71814,336,-8,"A","America/Los_Angeles"
"3590","Vero Beach Muni","Vero Beach","United States","VRB","KVRB",27.655556,-80.417944,24,-5,"A","America/New_York"
"3591","Imperial Co","Imperial","United States","IPL","KIPL",32.834219,-115.578744,-54,-8,"A","America/Los_Angeles"
"3592","Nashville Intl","Nashville","United States","BNA","KBNA",36.124472,-86.678194,599,-6,"A","America/Chicago"
"3593","Laredo Intl","Laredo","United States","LRD","KLRD",27.54375,-99.461556,508,-6,"A","America/Chicago"
"3594","Elmendorf Afb","Anchorage","United States","EDF","PAED",61.250986,-149.806503,212,-9,"A","America/Anchorage"
"3595","Ralph Wien Mem","Kotzebue","United States","OTZ","PAOT",66.884678,-162.59855,11,-9,"A","America/Anchorage"
"3596","Altoona Blair Co","Altoona","United States","AOO","KAOO",40.296372,-78.320022,1504,-5,"A","America/New_York"
"3597","Dyess Afb","Abilene","United States","DYS","KDYS",32.420756,-99.8546,1789,-6,"A","America/Chicago"
"3598","South Arkansas Rgnl At Goodwin Fld","El Dorado","United States","ELD","KELD",33.220972,-92.813278,277,-6,"A","America/Chicago"
"3599","La Guardia","New York","United States","LGA","KLGA",40.777245,-73.872608,22,-5,"A","America/New_York"
"3600","Tallahassee Rgnl","Tallahassee","United States","TLH","KTLH",30.396528,-84.350333,81,-5,"A","America/New_York"
